weight,attndperrls,attndonrls,educrec,inc_sdt1,hisp,racecmb,gender,birthdecade
6351.562914565619,2,3,2,4,2,1,2,6
7770.986353649326,3,5,2,3,2,1,2,2
1413.0947304069891,5,6,3,4,2,1,2,1
6635.280693920731,4,3,1,3,2,1,1,1
2631.441646817572,2,4,3,99,2,1,2,2
4578.858578254467,6,6,4,8,2,1,2,5
16265.972343039926,4,4,1,1,1,3,3,3
7029.064417577613,4,6,2,99,2,9,2,1
2692.6010582169974,6,6,4,2,2,1,2,5
1797.7421019969895,5,6,4,2,1,1,2,2
21970.86770920809,4,6,1,6,1,1,1,2
7942.541288021912,6,6,2,99,2,1,1,3
5641.518989075042,6,6,4,7,2,4,2,3
4867.740659743249,5,4,2,3,2,2,2,5
3169.998403346131,6,6,2,5,2,1,1,1
2706.3722264355547,2,1,3,1,2,1,2,3
554.2866472996633,3,3,4,6,2,1,1,3
3512.7303630482365,2,4,3,1,2,1,2,1
4583.862995192597,6,6,4,4,2,1,1,3
1918.3490221138745,2,6,4,4,2,1,1,2
7357.344318369879,6,6,3,4,2,5,2,5
7490.611638231539,4,5,2,5,2,1,1,3
4209.587467469313,2,4,3,1,2,1,2,6
4804.933349958099,6,6,3,1,2,1,2,7
4427.140953779837,3,6,3,5,2,1,1,4
30039.094928275343,5,6,1,1,2,2,2,2
2570.3045660520365,6,6,3,4,2,1,1,4
1134.3232878208332,5,6,4,8,2,1,1,5
6073.356245191365,2,3,4,8,2,1,2,3
25258.06077858011,2,1,2,8,1,1,2,5
8562.882594159495,6,6,1,1,1,2,2,6
21952.519522251092,1,6,3,1,2,1,1,6
11628.800009591418,4,6,1,6,2,1,1,2
3741.6612186862435,2,1,3,99,2,1,2,1
13703.067103829897,4,5,2,6,2,2,99,7
4340.229982320812,2,4,3,8,2,1,2,3
10980.682887469004,5,4,1,1,2,1,2,7
8008.777185397764,5,5,1,3,2,1,1,3
3468.429488388464,5,6,2,2,2,1,2,3
10252.198592804865,6,6,2,8,1,1,1,5
3443.61858089082,6,6,4,5,2,1,2,5
12235.446223629055,5,5,3,7,2,1,1,3
4496.140430388212,6,6,2,6,2,1,2,5
5525.218721719639,5,6,3,8,2,1,1,5
1071.7462932124256,5,6,2,5,2,1,2,1
18195.63988943428,2,1,1,3,2,2,2,1
10071.039126143041,5,6,1,2,2,3,2,1
6033.140404586919,2,2,2,2,2,1,2,6
2320.272848536953,6,6,4,8,2,3,99,5
789.504331778876,1,1,3,4,2,3,1,99
19294.808101792856,4,5,2,5,2,1,1,5
5180.682901056556,5,5,2,5,2,1,1,3
3662.883595892239,1,3,2,4,2,2,2,1
999.9464031725646,1,4,3,6,2,1,2,2
1943.0661170327205,5,6,1,1,2,1,2,5
807.3670398758184,6,6,4,8,2,1,1,3
1928.9662653190787,6,6,4,7,2,1,1,2
9843.338198503689,4,6,99,99,2,9,99,1
7513.525181028949,6,6,2,4,2,1,1,5
3217.3425211194817,2,6,2,4,2,1,2,2
1695.40783129599,6,6,3,4,2,4,2,5
644.6305869159664,2,5,4,8,2,1,1,2
11098.963071321263,6,6,4,8,2,4,1,5
4094.688457363478,5,6,2,7,2,1,2,4
3098.6163854061524,5,6,4,99,2,3,1,99
2877.8129571783456,1,5,3,3,2,4,2,5
7669.267081911133,99,6,2,2,2,1,99,6
12005.091150252301,2,1,1,1,2,1,2,3
6690.247448435036,2,6,3,5,2,3,1,6
5283.857055794435,6,6,1,1,2,1,2,7
11133.274766900353,6,6,1,2,2,1,2,6
22656.50891155955,5,2,1,1,99,2,2,3
3570.6469565562893,2,5,1,1,2,1,2,1
17896.167368273782,6,6,1,5,2,1,1,6
1752.1967987538346,1,1,2,99,2,9,2,2
962.1928721281812,6,6,4,8,2,1,1,3
846.2319216342726,4,6,3,6,2,1,2,4
2959.473531510169,2,5,1,4,2,1,1,1
16184.733934577647,1,4,2,7,2,1,1,6
20891.136943272013,4,1,1,5,2,1,1,3
8625.605612340085,1,5,3,5,2,1,1,2
5588.280163709475,3,3,2,8,2,1,2,3
9881.845889449107,6,5,3,8,2,1,1,4
5023.506544647589,6,6,3,6,2,1,2,2
10652.858217547166,5,1,1,1,2,1,1,2
5136.068394979266,5,6,2,1,2,1,2,1
3780.5546144746404,4,5,2,2,2,1,1,1
10187.02604740383,6,6,3,7,2,1,1,5
5136.079929305082,2,1,1,8,2,1,2,1
3155.347971726406,6,2,4,3,2,1,2,1
1915.4941787173013,6,6,2,8,2,1,1,2
2212.534460319428,6,5,4,8,2,1,1,2
1477.671932501072,2,5,2,4,2,1,2,2
5087.63888163783,5,5,2,1,1,9,1,2
10649.680059565295,5,5,2,1,2,1,2,6
4036.0145546822723,5,6,2,99,2,5,2,3
1327.3519469182932,5,6,4,8,2,1,2,3
4530.00691885144,6,6,2,8,2,1,2,4
4363.899138685276,5,6,3,4,2,1,2,5
7263.101159472137,2,5,3,5,1,1,2,4
533.662988352516,6,6,3,8,2,4,2,4
6921.345375042808,5,6,3,3,2,3,1,7
6393.396830488085,3,3,4,5,2,2,1,4
22537.933197395174,6,6,1,6,1,4,1,3
1876.6999261290325,6,6,2,2,2,1,1,2
1782.3805783738453,6,3,2,4,2,1,2,3
4218.880088655591,4,2,3,1,1,1,2,1
8695.700393441388,5,6,4,5,2,1,1,6
22298.00392123017,6,6,1,1,2,1,2,6
4722.881759387405,2,4,4,8,2,1,2,3
6382.218790858176,1,4,4,8,2,1,2,3
2956.4166417515644,3,2,2,4,2,1,1,1
5145.568011706012,2,3,2,4,2,1,2,1
6789.974246752139,6,5,1,3,99,1,2,1
453.1255729971379,5,3,1,3,2,1,1,2
3540.460147922426,6,5,2,2,1,1,2,4
1689.002867432212,6,6,2,99,2,1,1,1
2047.8399916299497,6,5,4,1,2,1,2,2
2380.4223289516794,6,6,4,4,2,1,1,2
18811.32062318525,2,5,2,5,2,1,2,6
11622.8674596619,4,6,1,99,2,1,2,5
10549.437679190036,1,6,1,3,2,1,2,1
2764.291073450673,5,5,3,8,2,3,1,5
1456.583371257412,4,6,2,8,2,1,1,1
20077.73375220663,2,2,2,8,2,1,2,5
12389.764700548585,5,5,3,3,1,1,1,5
9314.630038966921,5,6,2,3,2,1,2,2
16744.934004623752,5,5,2,5,2,1,1,4
7097.497785433161,5,6,2,6,2,1,2,3
5277.792547000276,3,5,4,8,2,2,2,3
7788.768030296147,6,6,2,7,1,1,1,4
7702.273736497057,6,6,3,6,2,1,2,4
10627.99048356625,4,2,1,2,2,2,2,2
10800.813243087792,6,6,4,7,2,3,2,6
8594.157214155155,2,5,3,6,2,1,2,5
7035.229592942168,5,6,4,2,2,3,1,4
440.5894584168676,4,6,4,8,2,1,2,2
345.0953845432174,5,6,3,5,2,1,2,2
11466.787885692747,2,4,1,4,1,1,2,3
