city,state,church,total_members,additions,losses,ruling_elders,deacons,tithes_offerings,building_fund_offering,total_contributions,other_income,total_church_income,current_expenses,building_fund_disbursed,grand_total_disbursements,per_capita_giving
Winder,GA,Northside Presbyterian Church,65,7,1,2,3,170804,NA,171804,NA,171804,NA,NA,24575,2771.03225806452
Burlington,NC,Northside Presbyterian Church,41,0,5,4,1,81356,0,87006,106355,193361,184504,0,192479,2122.09756097561
Dublin,OH,Northwest Presbyterian Church,565,93,26,10,5,1674163,481926,3351999,756198,4108197,2790247,NA,3058771,7399.55629139073
Cheyenne,WY,Northwoods Presbyterian Church,108,12,7,3,2,NA,NA,0,NA,0,NA,NA,0,0
Summerville,SC,Oak Community Church,47,15,16,1,1,89312,NA,137548,162,137710,122046,69393,200479,3438.7
Shawnee,KS,Oak Hills Presbyterian Church,130,11,17,5,5,267518,4675,279327,NA,279327,252581,21552,296893,2660.25714285714
Birmingham,AL,Oak Mountain Church,2120,133,189,52,53,8172684,35463,8538974,591548,9130522,7387012,699170,9730699,5037.74277286136
Bonita Springs,FL,Oak River Presbyterian Church,30,0,0,2,3,146489,0,160941,0,160941,NA,NA,12970,5364.7
Portland,OR,Oaks Parish,0,3,1,0,0,3200,0,7200,100000,107200,207000,0,211000,3600
State College,PA,Oakwood Presbyterian Church,368,33,15,7,6,941458,121539,1083791,3075,1086866,58012581,88554,58373749,3776.27526132404
Ocala,FL,Ocala Korean Presbyterian Church,49,0,6,2,NA,85000,10000,104000,NA,104000,NA,NA,12400,2122.44897959184
Watkinsville,GA,Oconee Fellowship,219,18,4,6,5,569900,154,581227,NA,581227,589978,NA,590253,3124.87634408602
Seneca,SC,Oconee Presbyterian Church,235,61,8,7,5,828019,1066605,1936312,34085,1970397,511967,479624,1086956,10354.6096256684
Palmetto Bay,FL,Old Cutler Presbyterian Church,1255,91,12,24,28,2594827,NA,2594827,785727,3380554,3249898,0,3613688,2691.72925311203
Ackerman,MS,Old Lebanon Presbyterian Church,30,4,0,2,1,46846,NA,47046,NA,47046,27835,NA,34917,1568.2
Webster Groves,MO,Old Orchard Church,104,0,0,NA,NA,312976,NA,312976,NA,312976,295206,NA,344284,3682.07058823529
Duluth,GA,Old Peachtree Presbyterian Church,240,13,21,8,12,869923,0,1446990,6119,1453109,662826,578268,1436761,7234.95
Coatesville,PA,Olive Street Presbyterian Church,143,23,5,4,3,232108,727,241060,3,241063,198299,2351,241791,1959.83739837398
McConnells,SC,Olivet Presbyterian Church,141,2,7,7,7,253262,0,253687,1905,255592,195505,15800,253578,2062.49593495935
Lacey,WA,Olympia One Light Presbyterian Church,32,0,0,1,1,53959,3900,70959,NA,70959,77356,NA,81056,2217.46875
Iowa City,IA,One Ancient Hope Presbyterian Church,87,1,5,4,0,142595,0,164925,67,164992,130330,0,133967,2748.75
Annandale,VA,One Voice Fellowship,120,18,2,3,3,210833,NA,210833,316566,527399,517192,NA,583224,2242.90425531915
Sacramento,CA,Onjeonhan Church,18,4,0,NA,NA,66568,NA,82930,NA,82930,57925,NA,61375,4607.22222222222
Placentia,CA,Open Door Church of Orange County,45,0,0,1,1,150050,18585,208635,NA,208635,187594,18585,206679,4636.33333333333
Orange,CA,Orange Hill Presbyterian Church,185,25,10,2,NA,479326,NA,479326,NA,479326,NA,NA,0,2905.00606060606
Maitland,FL,Orangewood Church,1015,78,98,22,13,3167456,3600000,7117456,175000,7292456,25000,NA,528660,9032.30456852792
Casselberry,FL,Orlando Chinese Evangelical Christian Church,126,15,13,4,7,208382,4645,219388,NA,219388,137525,24896,204460,1741.1746031746
Orlando,FL,Orlando Korean Presbyterian Church in America,169,10,1,2,2,216218,30777,276568,NA,276568,NA,NA,32148,2143.93798449612
Jacksonville,FL,Ortega Presbyterian Church,72,0,0,NA,NA,133226,NA,133226,NA,133226,NA,NA,18033,1850.36111111111
Monroe,LA,Ouachita Presbyterian Church,3,3,0,NA,NA,89430,NA,177630,NA,177630,184570,NA,184570,59210
Suwanee,GA,Our Love Presbyterian Church,53,37,5,0,0,43683,1000,45618,59,45677,44743,0,45678,860.716981132075
Manhattan Beach,CA,Pacific Crossroads Church,280,39,15,5,12,1909027,NA,2054679,NA,2054679,NA,NA,139500,7338.13928571429
Simpsonville,SC,Palmetto Hills Presbyterian Church,251,16,12,5,4,534093,60327,605339,NA,605339,499238,NA,573570,3169.31413612565
Oriental,NC,Pamlico Presbyterian Church,37,1,0,3,0,46308,0,46308,37790,84098,69936,0,77636,1852.32
Panama City,FL,Panama City Korean Church,52,7,6,NA,2,133469,NA,137369,NA,137369,93885,NA,112874,2861.85416666667
Lafayette,LA,Parish Church,95,13,30,2,4,329551,NA,329551,4004,333555,308124,NA,321964,4846.33823529412
Franklin,TN,Parish Presbyterian Church,525,36,8,11,12,NA,NA,0,NA,0,NA,NA,0,0
Dallas,TX,Park Cities Presbyterian Church,5159,290,112,18,104,16429701,22641,17501266,900215,18401481,14095502,78989,18285281,4427.33771818872
Hollywood,FL,Park Road Presbyterian Church,409,34,8,6,10,1145039,254688,1399727,142617,1542344,904582,254688,1407343,3772.84905660377
Overland Park,KS,Park Woods Presbyterian Church,68,7,0,2,2,140405,NA,143884,343,144227,183120,NA,185320,2524.28070175439
Nashville,TN,Parks Church PCA,77,7,3,4,4,232124,239310,481449,NA,481449,230000,240000,485000,8300.84482758621
Lilburn,GA,Parkview Church,341,29,4,4,1,407933,NA,431200,84442,515642,380998,NA,424418,2836.84210526316
Pasadena,MD,Pasadena Evangelical Presbyterian Church,47,2,4,2,2,151444,NA,151444,356,151800,129288,2627,136553,3786.1
Brighton,MI,Pathway Covenant Presbyterian Church,56,5,7,1,1,104365,0,200634,2921,203555,180534,NA,193378,4559.86363636364
Clio,AL,Pea River Presbyterian Church,43,0,0,4,5,45494,0,59549,0,59549,39417,0,39417,1452.41463414634
Frankfort,IL,Peace Community Church,154,4,0,5,5,421202,4346,434829,3438,438267,323718,19636,393376,3397.1015625
Cary,NC,Peace Presbyterian Church,589,27,16,11,13,1704483,0,1752744,183386,1936130,1478354,NA,1831394,4038.58064516129
Ridgeland,MS,Pear Orchard Presbyterian Church,954,42,17,23,24,2760866,10529,2772835,384471,3157306,2285247,131862,2946147,3803.61454046639
Pearl,MS,Pearl Presbyterian Church,73,2,7,3,5,245251,3150,250577,NA,250577,242038,NA,268282,3432.56164383562
Greensboro,GA,Penfield Presbyterian Church,13,0,0,1,NA,17379,NA,18029,NA,18029,15722,NA,16372,2003.22222222222
Johns Creek,GA,Perimeter Church,6662,342,272,312,86,27800974,NA,32482869,10994241,43477110,27111334,NA,40758759,6364.19847178683
Perry,GA,Perry Presbyterian Church,209,0,17,6,4,585733,6151,594684,NA,594684,480706,15269,554947,3003.45454545455
Petal,MS,Petal Presbyterian Church,137,8,1,NA,NA,53688,NA,53688,NA,53688,NA,NA,1150,501.757009345794
Mount Prospect,IL,Petra Presbyterian Church,65,15,0,0,0,NA,NA,0,NA,0,NA,NA,0,0
Mount Prospect,IL,Petra Presbyterian Church,65,15,0,0,0,NA,NA,0,NA,0,NA,NA,0,0
Waynesboro,MS,Philadelphus Presbyterian Church,14,6,7,2,0,18000,315,20315,0,20315,22850,2400,25350,1562.69230769231
Pickens,MS,Pickens Presbyterian Church,35,0,0,NA,NA,46858,NA,46858,NA,46858,NA,NA,7936,1338.8
Philadelphia,PA,Pilgrim Church,82,9,8,3,4,220000,10000,230400,17000,247400,210000,58000,286800,3438.80597014925
Martinsburg,WV,Pilgrim Presbyterian Church,95,14,1,2,0,288853,23700,317471,NA,317471,204082,17972,257433,3871.59756097561
Scottdale,PA,Pilgrim Presbyterian Church,23,4,0,2,0,136300,NA,136300,NA,136300,6756798,NA,6758598,8518.75
Natchez,MS,Pine Ridge Presbyterian Church,46,3,5,4,2,48136,0,48136,0,48136,44899,0,46712,1234.25641025641
Orlando,FL,Pine Ridge Presbyterian Church,129,6,0,6,6,NA,0,0,NA,0,NA,NA,0,0
Clinton,MS,Pinehaven Presbyterian Church,101,7,3,3,4,419745,0,432392,0,432392,199645,0,260856,4699.91304347826
Cutler Bay,FL,Pinelands Presbyterian Church,158,0,0,NA,NA,NA,NA,0,NA,0,NA,NA,0,0
Middleburg,FL,Pinewood Church,730,49,226,25,25,1698315,277638,2149953,119160,2269113,1857522,NA,2057800,3553.64132231405
Cantonment,FL,Pinewoods Presbyterian Church,279,35,10,8,12,963226,0,972091,4369,976460,590287,136693,911689,4154.23504273504
Ligonier,PA,Pioneer Presbyterian Church,222,8,6,3,5,285162,NA,304971,NA,304971,265142,NA,329592,1684.9226519337
Pittsburgh,PA,Pittsburgh Korean Presbyterian Church,43,3,0,1,1,NA,NA,0,NA,0,NA,NA,0,0
