weight,trad,income,pid7,vote_2024,race,educ
0.238874434746329,Nonwhite Catholic,4,2,1,3,5
1.146211314441083,White Catholic,4,7,2,1,2
1.611594219148934e-4,Nothing in Particular,5,2,NA,3,2
0.2101886110106706,White Catholic,2,1,1,1,2
0.1727257434455291,White Catholic,2,7,2,1,4
1.717105608853826,Atheist,7,7,2,5,3
0.01654936316611523,Nothing in Particular,5,4,NA,1,2
1.201867449052703,Black Protestant,4,3,NA,2,3
1.8724940324444,White Catholic,7,3,1,1,2
1.132658807757652,White Catholic,4,1,1,1,5
1.558834960868506,Nonwhite Evangelical,7,4,2,6,6
0.1536894306300784,Something Else,7,1,1,3,6
2.956988120934871e-4,Nothing in Particular,6,3,1,2,3
0.9056254579337115,Nothing in Particular,5,6,2,4,2
0.04818031207116925,White Mainline,5,4,2,1,3
0.3295278452045557,White Catholic,12,2,1,1,2
6.057396002456216e-4,Nonwhite Catholic,6,2,1,3,5
0.008225483979340037,White Mainline,7,6,2,1,4
1.035803866633598,White Evangelical,9,7,2,1,2
0.1573080948095529,Agnostic,10,3,1,1,4
0.7197955850889989,Nonwhite Evangelical,11,2,1,4,6
0.7624809330902046,Orthodox Christian,6,6,2,1,5
0.008498892542243742,Mormon/LDS,5,6,2,1,3
0.4353468981393744,White Mainline,9,1,1,1,2
0.5790455462219689,Something Else,5,1,1,1,3
1.342346153959358,White Catholic,3,3,NA,1,2
1.087225890921717,Something Else,10,4,1,7,5
0.6894995005117295,Agnostic,6,4,NA,1,4
0.3128214044289078,Agnostic,10,3,1,1,6
0.8415439658196947,Atheist,11,7,2,3,5
0.001920989540729908,Nothing in Particular,2,4,1,1,2
2.179804353702525,Atheist,5,3,1,1,3
3.380298132092503,White Evangelical,1,7,2,1,3
0.5760301777071932,Something Else,1,3,1,3,3
0.9719999190925785,Something Else,5,1,1,1,5
0.1836635317511754,Atheist,2,1,1,1,6
0.4147680126909594,Other Nonwhite Protestant,4,5,2,5,3
2.313577823477676,White Catholic,9,7,2,1,5
0.01777460220197253,Something Else,1,2,1,1,2
2.800781049052675,White Evangelical,3,7,2,1,2
0.1690876195958278,Black Protestant,4,1,1,2,6
0.2007769241533127,Nothing in Particular,4,6,2,4,3
0.3384784290519312,Atheist,2,3,NA,1,2
0.7576435327801058,Muslim,1,1,1,4,5
1.457997833777248e-4,Nothing in Particular,12,7,2,1,2
0.4448499422604068,Black Protestant,10,2,1,2,3
1.158050253831152,White Evangelical,6,5,2,1,4
1.232920567167152e-4,Nonwhite Catholic,9,2,NA,6,3
0.7741814458192583,White Catholic,9,1,1,1,5
0.1842033118929725,Nothing in Particular,3,3,1,1,3
0.04260011937130701,Nonwhite Catholic,3,2,1,3,3
1.640184693864629e-4,White Mainline,14,3,1,1,5
0.07988695202850497,Atheist,6,1,1,1,6
0.007763959068989802,Nothing in Particular,2,2,NA,1,2
