year,birthyr,age,weight,trad
2024,1997,27,0.825822297557159,Evangelical Presbyterian
2024,1962,62,0.896268225008506,Southern Baptist
2024,1969,55,1.12390174418093,Nondenom Evangelical
2024,1977,47,3.70740245669712,Baptist Miss. Association
2024,1977,47,3.70740245669712,Church of Christ
2024,1961,63,0.824111084185084,ELCA
2024,1959,65,0.411014880848014,Baptist Miss. Association
2024,1952,72,0.86505286364369,Nondenom Evangelical
2024,1952,72,0.86505286364369,Other Reformed
2024,1973,51,0.524058625578194,AME - Zion
2024,2002,22,1.51465897332592,Assemblies of God
2024,1958,66,0.324697629749029,Independent Baptist
2024,1955,69,0.0544257230014837,Nondenom Evangelical
2024,1953,71,1.19136208652361,ABCUSA
2024,1947,77,0.132990894078978,Community Church
2024,1951,73,0.52366162036356,United Methodist
2024,1951,73,0.52366162036356,Community Church
2024,1953,71,0.164240367880673,Community Church
2024,1953,71,0.704897040289055,Cumberland Presbyterian
2024,1981,43,1.54416856362888,Nondenom Evangelical
2024,1977,47,0.119401464450068,Southern Baptist
2024,1987,37,0.744995932004497,Orthodox Presbyterian
2024,1958,66,0.957342999521384,Lutheran - Wisconsin Synod
2024,1960,64,1.26194571091619,Nondenom Evangelical
2024,1943,81,0.347657449785783,Lutheran - Missouri Synod
2024,2000,24,5.13413409967986,Gen. Assoc. of Reg. Bapt.
2024,1982,42,0.796069405966774,Assemblies of God
2024,1964,60,0.752676409672654,Other Nondenom
2024,1952,72,1.35541525638766,Southern Baptist
2024,1958,66,0.610737804166374,Nondenom Fundamentalist
2024,1957,67,0.85409402660019,ELCA
2024,1957,67,1.28301516452226,Southern Baptist
2024,1957,67,1.28301516452226,Community Church
2024,1957,67,1.28301516452226,Other Reformed
2024,1988,36,0.387081240633226,ABCUSA
2024,1950,74,1.11852824718854,Nondenom Charismatic
2024,1947,77,1.0491122326513,ELCA
2024,1945,79,0.654606371427811,Community Church
2024,1981,43,1.30774067699956,Other Christian Church
2024,1946,78,0.264823580448848,Southern Baptist
2024,1955,69,1.54429000566071,Assemblies of God
2024,1964,60,0.135188239864198,Other Nondenom
2024,1966,58,0.528516202979362,Community Church
2024,1966,58,0.528516202979362,United Church of Christ
2024,1957,67,0.656080692449616,Southern Baptist
2024,1936,88,0.881227972272943,PCUSA
2024,1936,88,0.881227972272943,United Church of Christ
2024,1958,66,0.193614832023879,Nondenom Evangelical
2024,1958,66,0.193614832023879,Other Christian Church
2024,1958,66,0.193614832023879,National Assoc. of Cons. Cong.
2024,1948,76,0.322046479078437,United Methodist
2024,1961,63,0.81762961569497,Nondenom Evangelical
2024,1961,63,0.81762961569497,Assemblies of God
2024,1959,65,0.976698177425446,United Methodist
2024,1955,69,0.468879789692294,United Methodist
2024,1955,69,5.70420788878601,United Methodist
2024,1958,66,0.861422237735861,PCUSA
2024,1959,65,0.482192505820477,ABCUSA
2024,1959,65,0.482192505820477,Other Methodist
2024,1945,79,0.550311229312233,Community Church
