year,birthyr,weight,baptist,methodist,nondenom,lutheran,presbyterian,pentecostal,episcopal,christian,congregational,holiness,reformed,adventist
2024,1944,0.437204358309837,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1944,1.28301516452226,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
2024,1961,0.384451038104827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1950,4.54532277426321,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1956,0.410729793929126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1976,0.0209705667410681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1955,0.924673056952552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1990,3.53613603130868,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1986,1.87133084027525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1952,0.550311229312233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA
2024,1981,0.990253829446753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1957,0.71079658062058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1986,0.0222039869413188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1988,0.497351617870059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1965,0.601310148938392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1995,0.112373302291168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1988,0.40606689897016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1965,0.250416323632891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1970,0.384676229838404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1961,0.0522478064988552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1971,0.202168453857965,5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
2024,1953,0.148601946365977,NA,NA,5,2,NA,NA,NA,NA,NA,NA,NA,NA
2024,1993,1.78768889002206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1947,1.13611182154473,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
2024,1958,0.77183500196846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,2005,0.176117948415498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1954,1.162162771543,NA,NA,90,NA,NA,NA,NA,1,NA,NA,NA,NA
2024,2002,0.0671491080281511,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
2024,2004,0.957184811205241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1949,0.00149665963738159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
